data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2022-01-03 02:00:45.997728;3110;SUDESTE TRANSPORTES COLETIVOS LTDA;ISO4243;M. BENZ;O-500M                                            ;2011-12-09;2011;DIESEL
2022-01-03 02:00:45.997728;3077;SUDESTE TRANSPORTES COLETIVOS LTDA;IQB7512;M. BENZ;O-500M                                            ;2009-09-02;2009;DIESEL
2022-01-03 02:00:45.997728;3119;SUDESTE TRANSPORTES COLETIVOS LTDA;ISL6863;M. BENZ;O-500M                                            ;2011-11-12;2011;DIESEL
2022-01-03 02:00:45.997728;1213;TRANSPORTES COLETIVOS TREVO LTDA;IQJ1055;M. BENZ;OF 1722M                                          ;2009-12-09;2009;DIESEL
2022-01-03 02:00:45.997728;3318;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1130;M. BENZ;O-500M                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;3335;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1040;M. BENZ;O500 U                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;3030;SUDESTE TRANSPORTES COLETIVOS LTDA;IOA8523;M. BENZ;OF 1722M                                          ;2007-08-28;2007;DIESEL
2022-01-03 02:00:45.997728;1134;TRANSPORTES COLETIVOS TREVO LTDA;IXB9349;M. BENZ;O500MA                                            ;2016-02-10;2015;DIESEL
2022-01-03 02:00:45.997728;1169;TRANSPORTES COLETIVOS TREVO LTDA;ISA6063;M. BENZ;O500MA                                            ;2011-06-28;2010;DIESEL
2022-01-03 02:00:45.997728;1200;TRANSPORTES COLETIVOS TREVO LTDA;IPI5765;VW                                       ;17230                                             ;2008-11-29;2008;DIESEL
2022-01-03 02:00:45.997728;1128;TRANSPORTES COLETIVOS TREVO LTDA;ISM2646;M. BENZ;OF 1722                                           ;2011-11-12;2011;DIESEL
2022-01-03 02:00:45.997728;6727;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1457;M. BENZ;O-500M                                            ;2011-11-25;2011;DIESEL
